Video;Frame_number;Kermit;Pigs;Audio_Pigs;Cook;Audio_Cook;StatlerWaldorf;Audio_StatlerWaldorf;Audio_MissPiggy
211;0;0;0;0;0;0;0;0;0
211;1;0;0;0;0;0;0;0;0
211;2;0;0;0;0;0;0;0;0
211;3;0;0;0;0;0;0;0;0
211;4;0;0;0;0;0;0;0;0
211;5;0;0;0;0;0;0;0;0
211;6;0;0;0;0;0;0;0;0
211;7;0;0;0;0;0;0;0;0
211;8;0;0;0;0;0;0;0;0
211;9;0;0;0;0;0;0;0;0
211;10;0;0;0;0;0;0;0;0
211;11;0;0;0;0;0;0;0;0
211;12;0;0;0;0;0;0;0;0
211;13;0;0;0;0;0;0;0;0
211;14;0;0;0;0;0;0;0;0
211;15;0;0;0;0;0;0;0;0
211;16;0;0;0;0;0;0;0;0
211;17;0;0;0;0;0;0;0;0
211;18;0;0;0;0;0;0;0;0
211;19;0;0;0;0;0;0;0;0
211;20;0;0;0;0;0;0;0;0
211;21;0;0;0;0;0;0;0;0
211;22;0;0;0;0;0;0;0;0
211;23;0;0;0;0;0;0;0;0
211;24;0;0;0;0;0;0;0;0
211;25;0;0;0;0;0;0;0;0
211;26;0;0;0;0;0;0;0;0
211;27;0;0;0;0;0;0;0;0
211;28;0;0;0;0;0;0;0;0
211;29;0;0;0;0;0;0;0;0
211;30;0;0;0;0;0;0;0;0
211;31;0;0;0;0;0;0;0;0
211;32;0;0;0;0;0;0;0;0
211;33;0;0;0;0;0;0;0;0
211;34;0;0;0;0;0;0;0;0
211;35;0;0;0;0;0;0;0;0
211;36;0;0;0;0;0;0;0;0
211;37;0;0;0;0;0;0;0;0
211;38;0;0;0;0;0;0;0;0
211;39;0;0;0;0;0;0;0;0
211;40;0;0;0;0;0;0;0;0
211;41;0;0;0;0;0;0;0;0
211;42;0;0;0;0;0;0;0;0
211;43;0;0;0;0;0;0;0;0
211;44;0;0;0;0;0;0;0;0
211;45;0;0;0;0;0;0;0;0
211;46;0;0;0;0;0;0;0;0
211;47;0;0;0;0;0;0;0;0
211;48;0;0;0;0;0;0;0;0
211;49;0;0;0;0;0;0;0;0
211;50;0;0;0;0;0;0;0;0
211;51;0;0;0;0;0;0;0;0
211;52;0;0;0;0;0;0;0;0
211;53;0;0;0;0;0;0;0;0
211;54;0;0;0;0;0;0;0;0
211;55;0;0;0;0;0;0;0;0
211;56;0;0;0;0;0;0;0;0
211;57;0;0;0;0;0;0;0;0
211;58;0;0;0;0;0;0;0;0
211;59;0;0;0;0;0;0;0;0
211;60;0;0;0;0;0;0;0;0
211;61;0;0;0;0;0;0;0;0
211;62;0;0;0;0;0;0;0;0
211;63;0;0;0;0;0;0;0;0
211;64;0;0;0;0;0;0;0;0
211;65;0;0;0;0;0;0;0;0
211;66;0;0;0;0;0;0;0;0
211;67;0;0;0;0;0;0;0;0
211;68;0;0;0;0;0;0;0;0
211;69;0;0;0;0;0;0;0;0
211;70;0;0;0;0;0;0;0;0
211;71;0;0;0;0;0;0;0;0
