Video;Frame_number;Kermit;Pigs;Audio_Pigs;Cook;Audio_Cook;StatlerWaldorf;Audio_StatlerWaldorf;Audio_MissPiggy
343;0;0;0;0;0;0;0;0;0
343;1;0;0;0;0;0;0;0;0
343;2;0;0;0;0;0;0;0;0
343;3;0;0;0;0;0;0;0;0
343;4;0;0;0;0;0;0;0;0
343;5;0;0;0;0;0;0;0;0
343;6;0;0;0;0;0;0;0;0
343;7;0;0;0;0;0;0;0;0
343;8;0;0;0;0;0;0;0;0
343;9;0;0;0;0;0;0;0;0
343;10;0;0;0;0;0;0;0;0
343;11;0;0;0;0;0;0;0;0
343;12;0;0;0;0;0;0;0;0
343;13;0;0;0;0;0;0;0;0
343;14;0;0;0;0;0;0;0;0
343;15;0;0;0;0;0;0;0;0
343;16;0;0;0;0;0;0;0;0
343;17;0;0;0;0;0;0;0;0
343;18;0;0;0;0;0;0;0;0
343;19;0;0;0;0;0;0;0;0
343;20;0;0;0;0;0;0;0;0
343;21;0;0;0;0;0;0;0;0
343;22;0;0;0;0;0;0;0;0
343;23;0;0;0;0;0;0;0;0
343;24;0;0;0;0;0;0;0;0
343;25;0;0;0;0;0;0;0;0
343;26;0;0;0;0;0;0;0;0
343;27;0;0;0;0;0;0;0;0
343;28;0;0;0;0;0;0;0;0
343;29;0;0;0;0;0;0;0;0
343;30;0;0;0;0;0;0;0;0
343;31;0;0;0;0;0;0;0;0
343;32;0;0;0;0;0;0;0;0
343;33;0;0;0;0;0;0;0;0
343;34;0;0;0;0;0;0;0;0
343;35;0;0;0;0;0;0;0;0
343;36;0;0;0;0;0;0;0;0
343;37;0;0;0;0;0;0;0;0
343;38;0;0;0;0;0;0;0;0
343;39;0;0;0;0;0;0;0;0
343;40;0;0;0;0;0;0;0;0
343;41;0;0;0;0;0;0;0;0
343;42;0;0;0;0;0;0;0;0
343;43;0;0;0;0;0;0;0;0
343;44;0;0;0;0;0;0;0;0
343;45;0;0;0;0;0;0;0;0
343;46;0;0;0;0;0;0;0;0
343;47;0;0;0;0;0;0;0;0
343;48;0;0;0;0;0;0;0;0
343;49;0;0;0;0;0;0;0;0
343;50;0;0;0;0;0;0;0;0
343;51;0;0;0;0;0;0;0;0
343;52;0;0;0;0;0;0;0;0
343;53;0;0;0;0;0;0;0;0
343;54;0;0;0;0;0;0;0;0
343;55;0;0;0;0;0;0;0;0
343;56;0;0;0;0;0;0;0;0
343;57;0;0;0;0;0;0;0;0
343;58;0;0;0;0;0;0;0;0
343;59;0;0;0;0;0;0;0;0
343;60;0;0;0;0;0;0;0;0
343;61;0;0;0;0;0;0;0;0
343;62;0;0;0;0;0;0;0;0
343;63;0;0;0;0;0;0;0;0
343;64;0;0;0;0;0;0;0;0
343;65;0;0;0;0;0;0;0;0
343;66;0;0;0;0;0;0;0;0
343;67;0;0;0;0;0;0;0;0
343;68;0;0;0;0;0;0;0;0
343;69;0;0;0;0;0;0;0;0
343;70;0;0;0;0;0;0;0;0
343;71;0;0;0;0;0;0;0;0
343;72;0;0;0;0;0;0;0;0
343;73;0;0;0;0;0;0;0;0
